id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0263438,3.281664,11.698689,20.39763,-1.7409964,10.572842,1.0091897,8.05,2.0,0.750959,tt0384116,,,,,
tt0106701,4.9516716,12.428895,19.141352,-4.4220576,10.75122,2.514799,5.55,27.0,10.378902,tt0109813,,,,,
tt0023327,2.529207,9.284596,21.937305,-3.7772896,9.076694,1.2767565,5.15,11.0,0.320909,tt0023335,tt0023305,,,,
tt0109686,0.6708626,11.6208,20.272188,-4.723149,11.797396,3.1102638,6.9,94.0,9.844558,tt0109040,tt0116483,,,,
tt0082054,2.7794118,9.166195,20.924305,-3.804344,12.337626,3.1171596,7.0,12.0,3.873576,tt0078122,,,,,
tt0120680,2.1294951,10.666504,18.190592,-4.075327,11.6353245,1.3784051,2.25,16.0,0.431876,,,,,,
tt0075845,3.9158227,12.411557,21.69348,-0.9643889,10.802147,0.43727344,5.85,21.0,0.2912599999999999,tt0080442,tt0066471,tt0069761,,,
tt0029284,2.498084,10.647398,20.413141,-4.8597155,12.565944,2.8694618,7.300000000000001,28.0,2.063447,tt0039169,tt0028597,tt0034012,tt0044916,,
tt0111127,2.9157712,10.342043,22.728577,-2.851099,12.746698,1.5084589,6.6,67.0,5.305311,tt0365125,tt0067454,tt0064683,,,
tt0089444,3.233703,12.414551,18.586102,-3.4104362,11.0767,2.0590878,6.75,6.0,1.560562,tt0086998,,,,,
tt0097165,1.3026341,11.831026,20.040169,-3.771607,12.840727,1.5086659,8.1,106.0,19.905716,tt0264464,tt0211915,,,,
tt0010060,2.100209,10.36862,20.63678,-4.334994,12.916185,1.5268761,5.45,5.0,0.079384,tt0018455,tt0017416,tt0012190,tt0012675,,
tt0144106,2.264768,12.691595,20.52285,-5.4751763,-7.9896593,2.430629,7.1,12.0,0.486655,,,,,,
tt0018773,3.090488,10.756392,20.22989,-4.036096,12.84595,3.7312648,8.05,65.0,6.714813,tt0039631,tt0017925,,,,
tt0076933,3.486328,10.66701,18.132261,-3.8425593,10.740728,3.9952643,5.95,12.0,0.8689479999999999,tt0084049,tt0081562,,,,
tt0118798,3.960416,10.366253,20.126245,-2.7340803,11.866268,1.6504968,6.55,107.0,3.385342,tt0077663,tt0071970,tt0113161,,,
tt0111001,4.440015,11.53987,17.923775,-3.117171,11.07464,2.5668612,5.7,16.0,3.416181,tt0119668,,,,,
tt0837803,1.6297094,11.429222,20.691074,-5.7198906,13.521821,0.8433273,4.85,16.0,0.792998,,,,,,
tt0470765,3.0712614,11.920306,17.601187,-3.160471,10.599184,4.5332537,6.1,120.0,12.142183,,,,,,
tt0032152,3.60169,10.682976,20.61276,-4.1585307,10.755365,1.743884,7.0,12.0,0.5400590000000001,tt0032828,tt0025590,,,,
tt0116240,3.366865,13.107713,18.34047,-5.232,12.798894,1.7368222,5.85,27.0,8.399113999999999,tt0109951,,,,,
tt0101902,1.4597522,10.49723,18.845129,-3.5260665,12.002124,3.0733202,6.45,12.0,10.336913,tt0079826,,,,,
tt0410730,2.7085936,11.642106,20.765348,-5.0807467,13.173881,0.6490471,6.6,96.0,5.141933,tt0212132,,,,,
tt0014945,2.5078905,10.54025,20.786098,-4.8591228,11.710336,3.560249,7.300000000000001,13.0,1.153412,,,,,,
tt0033388,4.6551576,12.234398,22.219873,-2.0383213,12.0407915,0.047304288,6.300000000000001,15.0,1.639015,,,,,,
